"                                                    Monthly Statement 2024-12"
"TRADE RECORDS "
Stocks
Currency: USD
Symbol & Name,Trade Date,Settlement Date,Buy/Sell,Quantity,Traded Price,Gross Amount,Comm/Fee/Tax,VAT,Net Amount
AAPL APPLE INC,23/12/2024,26/12/2024,BUY,0.04878,205.00,10.00,0.00,0.00,10.00

MSFT MICROSOFT CORP,23/12/2024,26/12/2024,BUY,0.02326,430.00,10.00,0.00,0.00,10.00

NVDA NVIDIA CORPORATION,16/12/2024,18/12/2024,BUY,0.06250,160.00,10.00,0.00,0.00,10.00

AMZN AMAZON COM INC,16/12/2024,18/12/2024,BUY,0.04348,230.00,10.00,0.00,0.00,10.00

GOOG ALPHABET INC,09/12/2024,11/12/2024,BUY,0.05000,200.00,10.00,0.00,0.00,10.00

TSLA TESLA INC,09/12/2024,11/12/2024,SELL,0.03333,300.00,10.00,-0.05,0.00,10.05

MSFT MICROSOFT CORP,02/12/2024,04/12/2024,BUY,0.02222,450.00,10.00,0.00,0.00,10.00

META META PLATFORMS INC,02/12/2024,04/12/2024,BUY,0.01613,620.00,10.00,0.00,0.00,10.00

